stop_ids,stop_lat,stop_lon,stop_name
"['3220', '3221', '5300', '5301']",37.76584975,-122.4664595,9th Ave & Lincoln Way
"['3242', '3243', '5544', '5545']",37.77430925,-122.41715575,11th St & Mission St
"['4726', '4727']",37.793985,-122.3934435,Don Chee Way/Steuart St
"['3067', '3642']",37.7772725,-122.4587525,Balboa St & Arguello Blvd
"['3725', '7319']",37.776157,-122.40241449999999,Bryant St & 6th St
"['7350', '7391', '7403']",37.73763833333334,-122.38969933333333,Third Street/Kirkwood/La Salle
"['4031', '6803']",37.792277999999996,-122.42275649999999,Clay St & Van Ness Ave
"['3240', '3241']",37.77308,-122.415555,11th St & Howard St
"['3909', '3911', '4091', '4092', '7282']",37.765797199999994,-122.44998000000001,Carl St & Cole St
"['4787', '4788']",37.732463,-122.4336355,San Jose Ave/Glen Park Station
"['6216', '6217']",37.7565395,-122.426872,Right Of Way/21st St
"['3875', '3876']",37.7868175,-122.4501085,California St & Laurel St
"['4755', '4756', '5952', '5953']",37.780640000000005,-122.47243200000001,Geary Blvd & Park Presidio Blvd
"['5596', '5597']",37.737254,-122.4240815,Mission St & Highland Ave
['5805'],37.7229,-122.4444,Ocean Ave & San Jose St
['390'],37.72119,-122.475096,19th Avenue & Holloway St
"['3370', '3371', '5308', '5309']",37.76540375,-122.47748775,19th Ave & Lincoln Way
['5190'],37.762397,-122.462849,Judah St & 6th Ave
"['3266', '3267']",37.7430965,-122.471351,15th Ave & Taraval St
['5590'],37.72635,-122.43365,Mission St & Francis St
"['5197', '7082']",37.761824000000004,-122.4727785,Judah St & 15th Ave
['5683'],37.78285,-122.40964,Market St & Mason St
"['3888', '3889', '5985', '5986']",37.79065475,-122.42070149999999,California St & Polk St
"['5186', '6127']",37.787729999999996,-122.413195,Jones St & Post St
"['3308', '3322', '3323', '3987']",37.761723,-122.42831225,Church St & 18th St
"['5885', '5886', '7687']",37.762634999999996,-122.46073266666667,Parnassus Ave & 4th Ave
"['3196', '5649', '5650', '5656']",37.780262500000006,-122.41265875,7th St & Market St
"['4810', '4811']",37.7188245,-122.443554,Geneva Ave & Cayuga Ave
"['3361', '3362', '3363', '5133', '7001']",37.7174766,-122.4727236,19th Ave & Junipero Serra Blvd
"['4801', '4802', '4803', '4805']",37.7203565,-122.44691974999999,Geneva Ave/Balboa Park BART
['6995'],37.7843,-122.407822,Metro Powell Station/Outbound
"['6352', '6353']",37.712369499999994,-122.40250449999999,San Bruno Ave & Arleta Ave
"['3793', '6847']",37.7105935,-122.4041915,Bay Shore Blvd & Visitacion Ave
['6122'],37.741626,-122.456521,Portola Dr & Waithman Way
"['3882', '3883']",37.7928465,-122.40276499999999,California St & Montgomery St
"['3557', '3558', '3559', '3560', '4276', '4277', '4278', '4279']",37.77969262500001,-122.49330774999999,33rd Ave & Geary Blvd
"['5009', '5010', '6480', '6481']",37.77286075,-122.4541375,Hayes St & Stanyan St
"['4816', '4879']",37.720176,-122.4453115,Geneva Ave & Delano Ave
"['3166', '7622']",37.776495,-122.39864650000001,5th St & Brannan St
"['4628', '4629', '5391', '5392']",37.778535749999996,-122.43172975,Fillmore St & Mcallister St
"['4434', '4435', '6589', '6590']",37.785264250000004,-122.4397285,Divisadero St & Sutter St
"['5370', '5371']",37.798221,-122.412106,Mason St & Vallejo St
"['3890', '3891', '6049', '6050']",37.79213275,-122.40929974999999,California St & Powell St
"['5926', '5927']",37.723397,-122.452579,PHELAN LOOP
"['6896', '6897', '6898', '7125', '7306']",37.7379964,-122.4690348,West Portal Ave & 14th Ave
"['3080', '4503', '4504']",37.79917966666667,-122.39769799999999,BROADWAY & THE EMBARCADERO
"['5069', '5070']",37.8001905,-122.41924800000001,Hyde St & Filbert St
"['5840', '5841']",37.7958755,-122.4150075,Pacific Ave & Jones St
"['5082', '5083', '5838', '5839']",37.79542125,-122.41828900000002,Hyde St & Pacific Ave
"['3655', '3772', '7174']",37.71230033333333,-122.40250333333334,Arleta Ave & Bay Shore Blvd
"['3095', '6510']",37.807820500000005,-122.41071,Beach St & Stockton St
"['3402', '3403', '7448', '7449']",37.727165,-122.47489025,19th Ave & Winston Dr
['6372'],37.72531,-122.40271,San Bruno Ave & Woolsey St
"['4668', '4669', '7289']",37.76540033333333,-122.41536333333335,Folsom St & 16th St
['7777'],37.795753,-122.408318,Stockton St & Jackson St
"['4002', '4003']",37.749285,-122.4272055,Church St & Clipper St
"['6632', '6633']",37.742057,-122.4981855,Taraval St & 40th Ave
"['5693', '6501', '7227']",37.79438033333333,-122.39479233333333,Market St & Steuart St
"['6223', '6224']",37.731915,-122.47376700000001,Right Of Way/Ocean Ave
"['5688', '6063', '6064']",37.78460233333334,-122.40767033333333,Market St & Powell St
"['3761', '5582']",37.724628499999994,-122.434732,Brazil Ave & Mission St
"['6174', '6175']",37.714293999999995,-122.46350100000001,Randolph St & Bright St
"['3858', '3859', '4409', '4410']",37.788053250000004,-122.440619,California St & Divisadero St
"['5782', '5783']",37.72362,-122.43860000000001,Ocean Ave & Cayuga Ave
['5189'],37.762299,-122.462001,Judah St & 5th Ave
"['5472', '6818', '6819', '6820', '7476']",37.80504699999999,-122.4253194,North Point St & Van Ness Ave
"['4427', '5145', '5146']",37.791609666666666,-122.44109166666665,Divisadero St & Jackson St
"['3718', '3719', '5954']",37.713241000000004,-122.45603899999999,Broad St & Plymouth Ave
['6601'],37.789062,-122.410316,Sutter St & Mason St
"['4758', '4759', '6092', '6093']",37.782592,-122.44593574999999,Geary Blvd & Presidio Ave
